Taxonomy,sample,relab,timepoint,mouse_id
Muribaculaceae,D12M33,0.412736509460378,D12,M33
Bacteroidaceae,D12M33,0.125565022600904,D12,M33
Lachnospiraceae,D12M33,0.159766390655626,D12,M33
Lactobacillaceae,D12M33,0.0550422016880675,D12,M33
Erysipelotrichaceae,D12M33,0.0219208768350734,D12,M33
Akkermansiaceae,D12M33,0.0647625905036202,D12,M33
Rikenellaceae,D12M33,0.0259610384415377,D12,M33
Deferribacteraceae,D12M33,0.0214408576343054,D12,M33
Oscillospiraceae,D12M33,0.0231609264370575,D12,M33
Ruminococcaceae,D12M33,0.0044401776071042,D12,M33
Muribaculaceae,D12M34,0.401736069442778,D12,M34
Bacteroidaceae,D12M34,0.112204488179527,D12,M34
Lachnospiraceae,D12M34,0.139045561822473,D12,M34
Lactobacillaceae,D12M34,0.199247969918797,D12,M34
Erysipelotrichaceae,D12M34,0.0129605184207368,D12,M34
Akkermansiaceae,D12M34,0.0226409056362255,D12,M34
Rikenellaceae,D12M34,0.0234409376375055,D12,M34
Deferribacteraceae,D12M34,0.0062402496099844,D12,M34
Oscillospiraceae,D12M34,0.0119604784191368,D12,M34
Ruminococcaceae,D12M34,0.0094403776151046,D12,M34
Muribaculaceae,D12M35,0.518020720828833,D12,M35
Bacteroidaceae,D12M35,0.0733629345173807,D12,M35
Lachnospiraceae,D12M35,0.135125405016201,D12,M35
Lactobacillaceae,D12M35,0.112364494579783,D12,M35
Erysipelotrichaceae,D12M35,0.0252010080403216,D12,M35
Akkermansiaceae,D12M35,0.0181207248289932,D12,M35
Rikenellaceae,D12M35,0.0235209408376335,D12,M35
Deferribacteraceae,D12M35,0.0089203568142725,D12,M35
Oscillospiraceae,D12M35,0.0132405296211848,D12,M35
Ruminococcaceae,D12M35,0.0079203168126725,D12,M35
Muribaculaceae,D12M36,0.461138445537822,D12,M36
Bacteroidaceae,D12M36,0.106804272170887,D12,M36
Lachnospiraceae,D12M36,0.155286211448458,D12,M36
Lactobacillaceae,D12M36,0.142165686627465,D12,M36
Erysipelotrichaceae,D12M36,0.0082803312132485,D12,M36
Akkermansiaceae,D12M36,0.00040001600064,D12,M36
